Times at T=4.5,Normalized magnetization at T=4.5,Times at T=5.25,Normalized magnetization at T=5.25,Times at T=6.0,Normalized magnetization at T=6.0,Times at T=7.0,Normalized magnetization at T=7.0,Times at T=8.0,Normalized magnetization at T=8.0,Times at T=9.0,Normalized magnetization at T=9.0,Times at T=10.0,Normalized magnetization at T=10.0,Times at T=11.0,Normalized magnetization at T=11.0,Times at T=12.0,Normalized magnetization at T=12.0,Times at T=13.0,Normalized magnetization at T=13.0,Times at T=15.0,Normalized magnetization at T=15.0,Times at T=16.0,Normalized magnetization at T=16.0,Times at T=17.0,Normalized magnetization at T=17.0,Times at T=18.0,Normalized magnetization at T=18.0,Times at T=19.0,Normalized magnetization at T=19.0,Times at T=20.0,Normalized magnetization at T=20.0,Times at T=21.0,Normalized magnetization at T=21.0,Times at T=22.0,Normalized magnetization at T=22.0,Times at T=23.0,Normalized magnetization at T=23.0,Times at T=24.0,Normalized magnetization at T=24.0,Times at T=25.0,Normalized magnetization at T=25.0,Times at T=26.0,Normalized magnetization at T=26.0,Times at T=27.0,Normalized magnetization at T=27.0,Times at T=28.0,Normalized magnetization at T=28.0,Times at T=29.0,Normalized magnetization at T=29.0,Times at T=30.0,Normalized magnetization at T=30.0,Times at T=32.5,Normalized magnetization at T=32.5,Times at T=35.0,Normalized magnetization at T=35.0,Times at T=40.0,Normalized magnetization at T=40.0,Times at T=45.0,Normalized magnetization at T=45.0,Times at T=50.0,Normalized magnetization at T=50.0,Times at T=57.5,Normalized magnetization at T=57.5,Times at T=65.0,Normalized magnetization at T=65.0,Times at T=75.0,Normalized magnetization at T=75.0,Times at T=85.0,Normalized magnetization at T=85.0,Times at T=100.0,Normalized magnetization at T=100.0,Times at T=150.0,Normalized magnetization at T=150.0,Times at T=200.0,Normalized magnetization at T=200.0,Times at T=250.0,Normalized magnetization at T=250.0,Times at T=300.0,Normalized magnetization at T=300.0
1e-05,0.0,1e-05,0.024033262547238764,1e-06,0.0,1e-06,0.07301930795568325,1e-06,0.0,1e-06,0.03698169886069259,1e-06,0.04778966669893569,1e-06,0.03936068029491508,1e-06,0.059471704527881517,1e-06,0.0,1e-06,0.01840981476654394,1e-06,0.01729472239602598,5e-06,0.0,1e-06,0.0,1e-06,0.022994259844436045,0.0,0.002995084346060698,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.0,1e-06,0.004725605869785798,1e-06,0.003402169299588673,1e-06,0.0,1e-06,0.0,1e-06,0.0017328257917888171,1e-06,0.18102556953496207,1e-06,0.0,1e-06,0.016980269095365208,1e-06,0.011837505399262874,1e-06,0.0,1e-06,0.02664104107529707,1e-06,0.021932737164413123,1e-06,0.0,1e-06,0.029911983306912898
4.9e-05,0.01826021996777245,4.9e-05,0.0,2.8e-05,0.010906327189815695,2.8e-05,0.0,2.8e-05,0.02483542255002103,5e-06,0.05408439352944563,5e-06,0.04390067973751995,5e-06,0.0,5e-06,0.0,5e-06,0.045887145880081144,5e-06,0.0007636603564562901,5e-06,0.0,2.1e-05,0.04242854902902743,4e-06,0.024806044527074758,4e-06,0.0,1e-06,0.007466371203004625,4e-06,0.007900902385727116,4e-06,0.007240120893503615,4e-06,0.007006417117009985,4e-06,0.0007578843526670048,4e-06,0.00795670653654451,4e-06,0.020002071247272404,4e-06,0.008146409251858772,4e-06,0.01153399362464696,4e-06,0.002972202095202553,4e-06,0.017201641091336782,4e-06,0.0,4e-06,0.0,4e-06,6.126642411446453e-05,4e-06,0.0019951703625173014,4e-06,0.0,4e-06,0.24401369143989296,4e-06,0.0011700610625617024,4e-06,0.01150170801931077,4e-06,0.0,4e-06,0.011592701078538551,4e-06,0.03258401904197362,4e-06,0.00727440331857077,4e-06,0.023231677697604154,4e-06,0.0
0.000236,0.08306654254921424,0.000236,0.10408726288387622,0.000144,0.03152712763201078,0.000144,0.05163167226410147,0.000144,0.022530117767229466,2.8e-05,0.0,2.8e-05,0.0,2.8e-05,0.06260692800336316,2.5e-05,0.032827524659205784,2.5e-05,0.044988242259908294,2.1e-05,0.0,2.1e-05,0.04412478956301702,8.8e-05,0.18638169680835093,1.8e-05,0.06910744551155033,1.8e-05,0.0677559968895124,4e-06,0.0,1.8e-05,0.041811931868813004,1.8e-05,0.04454830818364438,1.8e-05,0.04594691013834018,1.8e-05,0.04942181875618292,1.8e-05,0.05244389183541749,1.8e-05,0.06417959530735311,1.8e-05,0.04369901624414104,1.8e-05,0.03986660206896172,1.8e-05,0.03291474517577552,1.8e-05,0.0362950651301222,1.8e-05,0.025760364669110712,1.8e-05,0.013113129351321202,1.8e-05,0.010813995136388485,1.8e-05,0.007148746944665312,1.8e-05,0.001954764070540094,1.8e-05,0.0,1.8e-05,0.022717466817799552,1.8e-05,0.0,1.8e-05,0.018570436664123464,1.8e-05,0.0028075302715954175,1.8e-05,0.0,1.8e-05,0.0,1.8e-05,0.0012088698614738335,1.8e-05,0.017208960577624013
0.001145,0.07303607797996788,0.001145,0.12946880454506676,0.000756,0.10303490922909506,0.000756,0.13593410036334347,0.000756,0.1531128890524545,0.000144,0.07286438735405404,0.000144,0.066597952625275,0.000144,0.08250225496691385,0.000126,0.11491246950923192,0.000126,0.13370114818789508,8.8e-05,0.05766602994363168,8.8e-05,0.1303045675628027,0.000368,0.2609806139095449,7.9e-05,0.058533977771343296,7.9e-05,0.11967264690227489,1.8e-05,0.030604422916956076,7.9e-05,0.13395653123652002,7.9e-05,0.1553051321406827,7.9e-05,0.1712123814683174,7.9e-05,0.16299640039570706,7.9e-05,0.17043887086433665,7.9e-05,0.1777982278117636,7.9e-05,0.15105245389380462,7.9e-05,0.1375476912743549,7.9e-05,0.12224438213819225,7.9e-05,0.1202005532885328,7.9e-05,0.08841288375152327,7.9e-05,0.06439899823780519,7.9e-05,0.044108055120930495,7.9e-05,0.03525046382189239,7.9e-05,0.027257861870096753,7.9e-05,0.11113100122614639,7.9e-05,0.029623752239570002,7.9e-05,0.021133474407870743,7.9e-05,0.033903838623601745,7.9e-05,0.030229969920100953,7.9e-05,0.049337411428239684,7.9e-05,0.03125775241875465,7.9e-05,0.02941681611688887,7.9e-05,0.023649182894985517
0.005558,0.20091043855671617,0.005558,0.2563926530028752,0.003966,0.19220596617898536,0.003966,0.2177418324388171,0.003966,0.3472722672444872,0.000756,0.12590158100491414,0.000756,0.21996959118941728,0.000756,0.24276641203500454,0.000632,0.17065583040148458,0.000632,0.22905356079542205,0.000368,0.2898238184646965,0.000368,0.19453581144846324,0.001544,0.4399797832200727,0.00015,0.1694499065155843,0.00015,0.19625158541869894,7.9e-05,0.1200008703234758,0.00015,0.2005121115889102,0.00015,0.2326354127550667,0.00015,0.24449612198247955,0.00015,0.2603540580758328,0.00015,0.25804985137839254,0.00015,0.2588150648718279,0.00015,0.23612103416058852,0.00015,0.21637111381491655,0.00015,0.18426925994227653,0.00015,0.182639329869298,0.00015,0.13454923695843934,0.00015,0.10233174150624323,0.00015,0.07143288027598167,0.00015,0.06060360652197387,0.00015,0.04992330858757092,0.00015,0.24382939984306173,0.00015,0.04777213060806611,0.00015,0.033532681737932925,0.00015,0.053388617748335816,0.00015,0.030352655597205395,0.00015,0.05585177082410313,0.00015,0.04103124185888058,0.00015,0.03471225580275961,0.00015,0.0648342069433677
0.026987,0.32203731892583065,0.026987,0.3736903419637031,0.020801,0.3514626638799164,0.020801,0.437560789368639,0.020801,0.42697943579883435,0.003966,0.3361922430801597,0.003966,0.37211485495073277,0.003966,0.3499925233545393,0.003166,0.359561263473683,0.003166,0.45846775957019487,0.001544,0.34344555407122607,0.001544,0.40314627055541535,0.006475,0.6914382270617946,0.000341,0.18727939548005268,0.000341,0.29047838587062985,0.00015,0.18051680477472848,0.000341,0.32090162867887984,0.000341,0.35204669493348306,0.000341,0.3776840241533766,0.000341,0.3807990622739856,0.000341,0.3973202779450715,0.000341,0.3868428559229496,0.000341,0.36149329899740124,0.000341,0.3371042243595743,0.000341,0.3092116455070434,0.000341,0.2809331912379417,0.000341,0.22809155478959633,0.000341,0.18826951580753187,0.000341,0.14616000904857956,0.000341,0.1262577180944528,0.000341,0.10622947671115213,0.000341,0.18728039464804533,0.000341,0.08670371860031445,0.000341,0.06013063702012061,0.000341,0.08238165017620772,0.000341,0.08032297004497745,0.000341,0.09078762027273533,0.000341,0.11356140330267724,0.000341,0.10870835940880366,0.000341,0.12700612105573747
0.131037,0.5174229759514433,0.131037,0.5563366236185759,0.109084,0.5773568479781667,0.109084,0.6653621602503589,0.109084,0.6846074550862224,0.020801,0.5222400447977559,0.020801,0.5727209052030956,0.020801,0.5991400527356274,0.015874,0.6002924437984168,0.015874,0.615478164917864,0.006475,0.5675096119383533,0.006475,0.5880927236335856,0.027144,0.8519204272879823,0.0008,0.3323540128117145,0.0008,0.4087326939553253,0.000341,0.28658580468936984,0.0008,0.46531417896147176,0.0008,0.5005421249694667,0.0008,0.5303234103651635,0.0008,0.5407678047401717,0.0008,0.5466248756090032,0.0008,0.5452176899052131,0.0008,0.5140662170543853,0.0008,0.4863024879292215,0.0008,0.4424091921377803,0.0008,0.42533884781252246,0.0008,0.3636777940374153,0.0008,0.3093600766210303,0.0008,0.264985767338398,0.0008,0.23657223351100903,0.0008,0.21760087921702737,0.0008,0.2311016624263758,0.0008,0.19410472046509927,0.0008,0.15365451636096733,0.0008,0.16747554688982275,0.0008,0.17251139771848456,0.0008,0.2317764462519517,0.0008,0.2340430604320693,0.0008,0.2835833261464546,0.0008,0.32286466951313114
0.636248,0.7284804964332239,0.636248,0.7923794273012974,0.572059,0.8463993919817595,0.572059,0.8687808291222667,0.572059,0.9453739935708706,0.109084,0.7634380184319739,0.109084,0.8434193018121905,0.109084,0.7700753252074702,0.079579,0.8181158544911096,0.079579,0.7859149338437886,0.027144,0.7044843154344922,0.027144,0.7324028014477373,0.113796,0.9495014195115279,0.001466,0.4263935775849208,0.001466,0.48686768753450327,0.0008,0.42698864729973773,0.001466,0.5476565808389514,0.001466,0.6082346850607566,0.001466,0.656481200093372,0.001466,0.658422769229064,0.001466,0.660620346805337,0.001466,0.650885821585667,0.001466,0.6244910457018584,0.001466,0.5953674086226926,0.001466,0.5574678243674529,0.001466,0.5352067101419665,0.001466,0.4647415142538101,0.001466,0.4173703964604995,0.001466,0.38283752144324845,0.001466,0.3575266758940228,0.001466,0.33391254244702956,0.001466,0.36889105039873527,0.001466,0.3093714578229551,0.001466,0.2737999693869162,0.001466,0.27830626637440004,0.001466,0.28940072428365804,0.001466,0.33782065345257994,0.001466,0.38647383889065867,0.001466,0.4357002857797837,0.001466,0.5310507619499438
3.08929,0.9193933976741011,3.08929,0.8976576028185317,3.0,0.9460003800114003,3.0,1.0,3.0,0.9894522096376855,0.572059,0.9347266342545831,0.572059,0.9923389538382107,0.572059,0.9075450261682592,0.398947,0.9334957933659487,0.398947,0.9708562797097402,0.113796,0.9395079176305757,0.113796,0.9056620079577156,0.477066,0.9953027679640768,0.00255,0.43397192988059463,0.00255,0.6155005965725275,0.001466,0.5368205409729881,0.00255,0.6508879939246879,0.00255,0.704399342304341,0.00255,0.7455113213447317,0.00255,0.7492026280713714,0.00255,0.7430778164172371,0.00255,0.7369497795211785,0.00255,0.7160824062369965,0.00255,0.6934517746934821,0.00255,0.6608793743956846,0.00255,0.6360940700942579,0.00255,0.5774845377645661,0.00255,0.5370956451788528,0.00255,0.5042622579976247,0.00255,0.48501094521502686,0.00255,0.4667004553469253,0.00255,0.4695551338147094,0.00255,0.4328531207722403,0.00255,0.4034412013046442,0.00255,0.43728831861908046,0.00255,0.43212239648943696,0.00255,0.5023817744601667,0.00255,0.5805671090828807,0.00255,0.6282047029460306,0.00255,0.7102063879599952
15.0,1.0,15.0,1.0,7.0,1.0,7.0,0.9922210052280773,5.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.477066,0.8982855315890652,0.477066,0.8983161584491097,2.0,1.0,0.004059,0.5197056911395938,0.004059,0.6763331862513282,0.00255,0.6245951740563267,0.004059,0.7226711500745614,0.004059,0.7787860338108068,0.004059,0.8046139820038847,0.004059,0.8190485295380924,0.004059,0.8235860440317145,0.004059,0.8176139594798626,0.004059,0.7939859777496879,0.004059,0.7698830634727506,0.004059,0.7383165679971502,0.004059,0.7210001159586745,0.004059,0.6614135007112883,0.004059,0.6274102402851511,0.004059,0.6160348370313119,0.004059,0.6008110747906666,0.004059,0.5901365507270346,0.004059,0.7412567102735437,0.004059,0.5733562470291418,0.004059,0.5515546586618448,0.004059,0.5796643575987308,0.004059,0.5863740029050216,0.004059,0.6665109372183197,0.004059,0.7464047780121883,0.004059,0.7927245199349274,0.004059,0.8470343542806892
